Id,SalePrice
1461,126191.13471296924
1462,164843.11773333853
1463,186276.91184569348
1464,201684.63541487922
1465,172712.80816671558
1466,174549.52459537584
1467,185951.29499589908
1468,165124.59738575562
1469,195706.16348997396
1470,106719.85816752269
1471,212775.56406158884
1472,108487.25405291964
1473,94569.01070750877
1474,138903.5873717279
1475,106826.83830503958
1476,321500.137760439
1477,255338.99825219894
1478,282210.82396625
1479,282532.4775898826
1480,427616.42704326706
1481,282696.1140001202
1482,212180.576980737
1483,188026.13890847212
1484,167963.05362876048
1485,188992.8441890663
1486,207749.83607155288
1487,296818.2667470643
1488,256477.45754579717
1489,192312.86611618623
1490,255784.46497120446
1491,213342.27765056863
1492,104955.46826313698
1493,204998.16240318943
1494,282960.50807163835
1495,280280.7909109157
1496,239635.65309883162
1497,180813.0716678938
1498,157852.9023550282
1499,157592.30851840158
1500,154453.320941899
1501,197719.01368765943
1502,144710.5756353163
1503,289650.52233785036
1504,231484.99184016485
1505,218188.40298825662
1506,190091.56228293612
1507,268554.2374478516
1508,201018.60605254807
1509,146979.05694146536
1510,136772.57246920842
1511,151018.6855683272
1512,186448.35060498762
1513,155926.5769312922
1514,180190.46308996715
1515,222855.60448286234
1516,170883.65878254696
1517,181278.12858779292
1518,127004.40144008466
1519,256367.67696402062
1520,126877.95231434167
1521,137158.40828384386
1522,190072.00973568394
1523,93633.15782126797
1524,117591.71232774844
1525,105730.42182102657
1526,99494.09227577616
1527,98635.92149596226
1528,146623.96403576314
1529,134536.8002470629
1530,215902.84933203965
1531,148246.3326494652
1532,107019.88972094815
1533,152492.5899321422
1534,132664.41474157083
1535,171342.55251653868
1536,108751.1546276846
1537,43987.18083650268
1538,183346.03005450673
1539,209063.2058615062
1540,119024.84977166423
1541,163609.22725432736
1542,155118.0762306179
1543,210479.35007656072
1544,84888.16800093629
1545,131638.64136290224
1546,134762.70479389175
1547,158812.6886105321
1548,143850.7051763484
1549,122732.42308476902
1550,125018.55427187683
1551,139560.0345873092
1552,136295.87368104633
1553,166822.8124698358
1554,126510.5728898544
1555,177464.88878901856
1556,92718.09525081627
1557,122453.20691710955
1558,100898.93989314642
1559,77767.8027292425
1560,137354.79770536543
1561,117027.91113978389
1562,116857.33443751807
1563,111385.24316946883
1564,174912.02510981774
1565,141051.26391462563
1566,257062.13392436728
1567,70616.44958844858
1568,226515.21067724764
1569,116836.33466328596
1570,141630.27453466624
1571,111720.25193411861
1572,151395.3911754952
1573,294576.71555189573
1574,106401.73712946137
1575,258479.85088742437
1576,244553.94597259792
1577,200809.26505440558
1578,147339.63147476112
1579,137947.46567793842
1580,201209.30898424835
1581,149783.31479410265
1582,107538.52867168888
1583,338537.57988264464
1584,223565.77337219188
1585,155702.5388481764
